Name,Score
Aaban,0.0
Aabha,1.0
Aabid,0.0
Aabriella,1.0
Aada,1.0
Aadam,0.0
Aadan,0.0
Aadarsh,0.0
Aaden,0.0011853959222380276
Aadesh,0.0
Aadhav,0.0
Aadhavan,0.0
Aadhi,0.0
Aadhira,1.0
Aadhvik,0.0
Aadhya,1.0
Aadhyan,0.0
Aadi,0.02203856749311295
Aadian,0.0
Aadil,0.0
Aadin,0.0
Aadish,0.0
Aadison,1.0
Aadit,0.0
Aadith,0.0
Aadithya,0.0
Aaditri,1.0
Aaditya,0.0
Aadiv,0.0
Aadon,0.0
Aadrian,0.0
Aadrika,1.0
Aadrit,0.0
Aadvik,0.0
Aadvika,1.0
Aadya,1.0
Aadyn,0.037037037037037035
Aafia,1.0
Aafreen,1.0
Aagam,0.0
Aage,0.0
Aagot,1.0
Aahaan,0.0
Aahan,0.0
Aahana,1.0
Aahil,0.0
Aahir,0.0
Aahliyah,1.0
Aahna,1.0
Aahron,0.0
Aaidan,0.0
Aaiden,0.0
Aaidyn,0.0
Aaila,1.0
Aailiyah,1.0
Aailyah,1.0
Aaima,1.0
Aaira,1.0
Aairah,1.0
Aaisha,1.0
Aaishah,1.0
Aaiyana,1.0
Aaiza,1.0
Aaja,1.0
Aajah,1.0
Aajaylah,1.0
Aajon,0.0
Aakanksha,1.0
Aakarsh,0.0
Aakash,0.0
Aakeem,0.0
Aakilah,1.0
Aakira,1.0
Aakiyah,1.0
Aakriti,1.0
Aala,1.0
Aalaiya,1.0
Aalaiyah,1.0
Aalana,1.0
Aalanah,1.0
Aalani,1.0
Aalap,0.0
Aalaya,1.0
Aalayah,1.0
Aalayiah,1.0
Aalayjah,1.0
Aalayna,1.0
Aalaysha,1.0
Aalaysia,1.0
Aalea,1.0
Aaleah,1.0
Aaleahya,1.0
Aaleena,1.0
Aaleeya,1.0
Aaleeyah,1.0
Aaleiah,1.0
Aaleigha,1.0
Aaleiyah,1.0
Aalena,1.0
Aalexis,1.0
Aalexus,1.0
Aaleya,1.0
Aaleyah,1.0
Aali,0.0
Aalia,1.0
Aaliah,1.0
Aaliana,1.0
Aalias,0.0
Aaliayah,1.0
Aaliayh,1.0
Aalicia,1.0
Aaliha,1.0
Aalijah,0.40893470790378006
Aalim,0.0
Aalimah,1.0
Aalina,1.0
Aalinah,1.0
Aalisa,1.0
Aalisha,1.0
Aalivia,1.0
Aaliya,1.0
Aaliyaa,1.0
Aaliyah,0.9988101445206486
Aaliyaha,1.0
Aaliyahmarie,1.0
Aaliyahrose,1.0
Aaliyan,1.0
Aaliyana,1.0
Aaliyanna,1.0
Aaliyha,1.0
Aaliyiah,1.0
Aalliyah,1.0
Aallyah,1.0
Aalok,0.0
Aalon,0.0
Aalya,1.0
Aalyah,1.0
Aalycia,1.0
Aalyha,1.0
Aalyia,1.0
Aalyiah,1.0
Aalyna,1.0
Aalysia,1.0
Aalyssa,1.0
Aalyvia,1.0
Aamanda,1.0
Aamanee,1.0
Aamani,1.0
Aamar,0.0
Aamari,0.4444444444444444
Aamarion,0.0
Aamaya,1.0
Aamber,1.0
Aamena,1.0
Aamer,0.0
Aamia,1.0
Aamil,0.0
Aamilah,1.0
Aamina,1.0
Aaminah,1.0
Aamir,0.0038022813688212928
Aamira,1.0
Aamirah,1.0
Aamiya,1.0
Aamiyah,1.0
Aamna,1.0
Aamoni,1.0
Aamori,1.0
Aamya,1.0
Aamyah,1.0
Aana,1.0
Aanand,0.0
Aanav,0.0
Aanaya,1.0
Aanchal,1.0
Aania,1.0
Aaniah,1.0
Aanijah,1.0
Aanika,1.0
Aanisah,1.0
Aaniya,1.0
Aaniyah,1.0
Aaniylah,1.0
Aansh,0.0
Aanshi,1.0
Aanvi,1.0
Aanya,1.0
Aanyah,1.0
Aanyla,1.0
Aapri,1.0
Aaqib,0.0
Aaqil,0.0
Aara,1.0
Aarabella,1.0
Aarabhi,1.0
Aaradhana,1.0
Aaradhy,0.0
Aaradhya,1.0
Aaraiz,0.0
Aaralyn,1.0
Aaralynn,1.0
Aaran,0.0
Aaraon,0.0
Aaratrika,1.0
Aarav,0.0
Aaravi,1.0
Aaraya,1.0
Aaren,0.2761998041136141
Aareon,0.23255813953488372
Aareona,1.0
Aari,0.6428571428571429
Aaria,1.0
Aariah,1.0
Aarian,0.35036496350364965
Aariana,1.0
Aarianna,1.0
Aarib,0.0
Aaric,0.0
Aarica,1.0
Aarick,0.0
Aarie,1.0
Aariel,1.0
Aarielle,1.0
Aarien,0.0
Aarik,0.0
Aarika,1.0
Aariketh,0.0
Aarilyn,1.0
Aarilynn,1.0
Aarin,0.3869281045751634
Aarini,1.0
Aarion,0.23890784982935154
Aariona,1.0
Aarionna,1.0
Aaris,0.5396825396825397
Aarish,0.0
Aarit,0.0
Aariv,0.0
Aariya,1.0
Aariyah,1.0
Aariyan,0.0
Aariyana,1.0
Aariyanna,1.0
Aariyona,1.0
Aariyonna,1.0
Aariz,0.0
Aarjav,0.0
Aarn,0.0
Aarna,1.0
Aarnav,0.0
Aarnavi,1.0
Aarne,0.0
Aaro,0.0
Aaroh,0.0
Aarohan,0.0
Aarohi,1.0
Aarolyn,1.0
Aaron,0.007513860648499617
Aarona,1.0
Aaronae,1.0
Aaronda,1.0
Aaronette,1.0
Aaronisha,1.0
Aaronjacob,0.0
Aaronjames,0.0
Aaronjohn,0.0
Aaronjoseph,0.0
Aaronjosh,0.0
Aaronjoshua,0.0
Aaronlee,0.0
Aaronmichael,0.0
Aaronn,0.0
Aaroosh,0.0
Aarren,0.0
Aarron,0.0
Aarsh,0.0
Aarshi,1.0
Aarshiya,1.0
Aarthi,1.0
Aarti,1.0
Aaruhi,1.0
Aarush,0.0
Aarushi,1.0
Aarvi,1.0
Aarvin,0.0
Aarya,0.7997169143665959
Aaryah,1.0
Aaryahi,1.0
Aaryan,0.00545950864422202
Aaryana,1.0
Aaryanna,1.0
Aaryash,0.0
Aaryav,0.0
